Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Rec,Yds,Y/R,TD,Y/G,Att,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college
2017,JuJu Smith-Schuster,WR,41.0,30.0,104.0,USC,6.3,6-1,215.0,4.54,32.5,15.0,120.0,,,40.0,213.0,3092.0,14.5,25.0,77.3,8.0,40.0,213.0,3092.0,14.5,25.0,77.3,8.0,40.0,213.0,3092.0,14.5,25.0,77.3,8.0,40.0,213.0,3092.0,14.5,25.0,77.3,8.0,40.0,213.0,3092.0,14.5,25.0,77.3,8.0,40.0,213.0,3092.0,14.5,25.0,77.3,8.0
2018,D.J. Moore,WR,56.0,36.0,114.0,Maryland,6.3,6-0,210.0,4.42,39.5,15.0,132.0,6.95,4.07,37.0,146.0,2027.0,13.9,17.0,54.8,17.0,37.0,146.0,2027.0,13.9,17.0,54.8,17.0,37.0,146.0,2027.0,13.9,17.0,54.8,17.0,37.0,146.0,2027.0,13.9,17.0,54.8,17.0,37.0,146.0,2027.0,13.9,17.0,54.8,17.0,37.0,146.0,2027.0,13.9,17.0,54.8,17.0
2018,Calvin Ridley,WR,40.0,24.0,83.0,Alabama,6.8,6-0,189.0,4.43,31.0,15.0,110.0,6.88,4.41,44.0,224.0,2781.0,12.4,19.0,63.2,8.0,44.0,224.0,2781.0,12.4,19.0,63.2,8.0,44.0,224.0,2781.0,12.4,19.0,63.2,8.0,44.0,224.0,2781.0,12.4,19.0,63.2,8.0,44.0,224.0,2781.0,12.4,19.0,63.2,8.0,44.0,224.0,2781.0,12.4,19.0,63.2,8.0
2018,Courtland Sutton,WR,39.0,39.0,98.0,SMU,6.3,6-3,218.0,4.54,35.5,18.0,124.0,6.57,4.11,40.0,195.0,3220.0,16.5,31.0,80.5,1.0,40.0,195.0,3220.0,16.5,31.0,80.5,1.0,40.0,195.0,3220.0,16.5,31.0,80.5,1.0,40.0,195.0,3220.0,16.5,31.0,80.5,1.0,40.0,195.0,3220.0,16.5,31.0,80.5,1.0,40.0,195.0,3220.0,16.5,31.0,80.5,1.0
2018,Dante Pettis,WR,10.0,5.0,58.0,Washington,6.2,6-0,186.0,,,,,,,53.0,163.0,2256.0,13.8,24.0,42.6,4.0,53.0,163.0,2256.0,13.8,24.0,42.6,4.0,53.0,163.0,2256.0,13.8,24.0,42.6,4.0,53.0,163.0,2256.0,13.8,24.0,42.6,4.0,53.0,163.0,2256.0,13.8,24.0,42.6,4.0,53.0,163.0,2256.0,13.8,24.0,42.6,4.0
2018,Christian Kirk,WR,41.0,23.0,93.0,Texas A&M,6.3,5-10,201.0,4.47,35.5,20.0,115.0,7.09,4.45,39.0,234.0,2856.0,12.2,26.0,73.2,23.0,39.0,234.0,2856.0,12.2,26.0,73.2,23.0,39.0,234.0,2856.0,12.2,26.0,73.2,23.0,39.0,234.0,2856.0,12.2,26.0,73.2,23.0,39.0,234.0,2856.0,12.2,26.0,73.2,23.0,39.0,234.0,2856.0,12.2,26.0,73.2,23.0
2018,Anthony Miller,WR,12.0,12.0,52.0,Memphis,6.2,5-11,201.0,,,22.0,,,,38.0,238.0,3590.0,15.1,37.0,94.5,31.0,38.0,238.0,3590.0,15.1,37.0,94.5,31.0,38.0,238.0,3590.0,15.1,37.0,94.5,31.0,38.0,238.0,3590.0,15.1,37.0,94.5,31.0,38.0,238.0,3590.0,15.1,37.0,94.5,31.0,38.0,238.0,3590.0,15.1,37.0,94.5,31.0
2018,James Washington,WR,11.0,11.0,62.0,Oklahoma St.,6.2,5-11,213.0,4.54,34.5,14.0,120.0,7.11,4.32,52.0,226.0,4472.0,19.8,39.0,86.0,9.0,52.0,226.0,4472.0,19.8,39.0,86.0,9.0,52.0,226.0,4472.0,19.8,39.0,86.0,9.0,52.0,226.0,4472.0,19.8,39.0,86.0,9.0,52.0,226.0,4472.0,19.8,39.0,86.0,9.0,52.0,226.0,4472.0,19.8,39.0,86.0,9.0
2018,DJ Chark,WR,21.0,13.0,76.0,LSU,6.3,,,,,,,,,36.0,66.0,1351.0,20.5,6.0,37.5,25.0,36.0,66.0,1351.0,20.5,6.0,37.5,25.0,36.0,66.0,1351.0,20.5,6.0,37.5,25.0,36.0,66.0,1351.0,20.5,6.0,37.5,25.0,36.0,66.0,1351.0,20.5,6.0,37.5,25.0,36.0,66.0,1351.0,20.5,6.0,37.5,25.0
2019,Marquise Brown,WR,34.0,24.0,74.0,Oklahoma,6.7,5-9,166.0,,,,,,,27.0,132.0,2413.0,18.3,17.0,89.4,3.0,27.0,132.0,2413.0,18.3,17.0,89.4,3.0,27.0,132.0,2413.0,18.3,17.0,89.4,3.0,27.0,132.0,2413.0,18.3,17.0,89.4,3.0,27.0,132.0,2413.0,18.3,17.0,89.4,3.0,27.0,132.0,2413.0,18.3,17.0,89.4,3.0
