Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
2014,2,47,WAS,Trent Murphy,LB,23,2020.0,0,0,4,33.0,11.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,26.0,Stanford,College Stats,6.2,6-5,250.0,4.86,35.5,19.0,118.0,6.78,4.2
2014,2,48,BAL,Timmy Jernigan,DT,21,2020.0,0,0,4,25.0,14.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,17.5,Florida St.,College Stats,6.1,6-2,299.0,5.06,29.5,27.0,102.0,,4.83
2014,2,49,NYJ,Jace Amaro,TE,22,2016.0,0,0,0,4.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,404.0,2.0,,,,Texas Tech,College Stats,5.9,6-5,265.0,4.74,33.0,28.0,118.0,7.42,4.3
2014,2,50,SDG,Jeremiah Attaochu,LB,21,2022.0,0,0,1,15.0,8.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,,20.5,Georgia Tech,College Stats,6.1,6-3,252.0,,,,,,
2014,2,51,CHI,Ego Ferguson,DT,22,2015.0,0,0,0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,2.0,LSU,College Stats,6.1,6-3,315.0,4.98,,24.0,,,
2014,2,52,ARI,Troy Niklas,TE,21,2017.0,0,0,1,1.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,203.0,3.0,7.0,,,Notre Dame,College Stats,6.2,6-6,270.0,4.84,32.0,27.0,114.0,7.57,4.55
2014,2,53,GNB,Davante Adams,WR,21,2024.0,3,6,10,89.0,60.0,164.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,957.0,11844.0,103.0,2.0,,,Fresno St.,College Stats,6.4,6-1,212.0,4.56,39.5,14.0,123.0,6.82,4.3
2014,2,54,TEN,Bishop Sankey,RB,21,2015.0,0,0,1,6.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,199.0,762.0,3.0,32.0,272.0,1.0,,,,Washington,College Stats,5.8,5-9,209.0,4.49,35.5,26.0,126.0,6.75,4.0
2014,2,55,CIN,Jeremy Hill,RB,21,2018.0,0,0,3,21.0,21.0,55.0,0.0,0.0,0.0,0.0,0.0,708.0,2898.0,29.0,68.0,490.0,1.0,,,,LSU,College Stats,6.3,6-1,233.0,4.56,29.0,20.0,113.0,,
2014,2,56,DEN,Cody Latimer,WR,21,2019.0,0,0,1,6.0,3.0,66.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,70.0,935.0,6.0,14.0,,,Indiana,College Stats,5.8,6-2,215.0,4.52,,23.0,,,
2014,2,57,SFO,Carlos Hyde,RB,23,2021.0,0,0,4,32.0,18.0,102.0,0.0,0.0,0.0,0.0,0.0,1225.0,4979.0,37.0,157.0,867.0,3.0,,,,Ohio St.,College Stats,6.7,6-0,230.0,4.62,34.5,19.0,114.0,,
2014,2,58,NOR,Stanley Jean-Baptiste,DB,24,2017.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Nebraska,College Stats,5.8,6-3,218.0,4.61,41.5,13.0,128.0,,4.33
2014,2,59,IND,Jack Mewhort,T,23,2017.0,0,0,4,22.0,22.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Ohio St.,College Stats,6.1,6-6,309.0,5.37,26.0,28.0,101.0,7.79,4.64
2014,2,60,CAR,Kony Ealy,DE,22,2018.0,0,0,0,12.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,15.0,Missouri,College Stats,6.2,6-4,273.0,4.92,31.0,22.0,114.0,6.83,4.45
2014,2,61,JAX,Allen Robinson,WR,21,2024.0,0,1,8,48.0,18.0,139.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,565.0,7058.0,43.0,2.0,,,Penn St.,College Stats,6.2,6-3,220.0,4.6,39.0,,127.0,7.0,4.0
2014,2,62,NWE,Jimmy Garoppolo,QB,22,2024.0,0,0,3,47.0,2.0,82.0,1304.0,1936.0,15828.0,96.0,52.0,187.0,269.0,7.0,2.0,-3.0,0.0,,,,Eastern Illinois,,5.9,6-2,226.0,4.97,30.5,,110.0,7.04,4.26
2014,2,63,MIA,Jarvis Landry,WR,21,2022.0,0,5,8,56.0,28.0,132.0,6.0,9.0,146.0,1.0,0.0,40.0,239.0,5.0,713.0,7870.0,38.0,7.0,,,LSU,College Stats,6.1,5-11,205.0,4.65,28.5,12.0,110.0,,
2014,2,64,SEA,Justin Britt,T,23,2022.0,0,0,7,41.0,39.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Missouri,College Stats,5.6,6-6,325.0,5.19,27.5,23.0,100.0,8.14,4.69
2015,1,1,TAM,Jameis Winston,QB,21,2024.0,0,1,5,62.0,54.0,105.0,1944.0,3178.0,24225.0,154.0,111.0,323.0,1297.0,12.0,0.0,0.0,0.0,,,,Florida St.,College Stats,7.0,6-4,231.0,4.97,28.5,,103.0,7.16,4.36
2015,1,2,TEN,Marcus Mariota,QB,21,2024.0,0,0,5,56.0,43.0,93.0,1361.0,2162.0,16184.0,97.0,55.0,375.0,2156.0,18.0,2.0,62.0,1.0,1.0,,,Oregon,College Stats,6.8,6-4,222.0,4.52,36.0,,121.0,6.87,4.11
2015,1,3,JAX,Dante Fowler,OLB,21,2024.0,0,0,2,29.0,5.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,1.0,55.5,Florida,College Stats,6.8,6-3,261.0,4.6,32.5,19.0,112.0,7.4,4.32
2015,1,4,OAK,Amari Cooper,WR,21,2024.0,0,5,9,66.0,22.0,154.0,0.0,1.0,0.0,0.0,1.0,14.0,41.0,0.0,711.0,10033.0,64.0,2.0,,,Alabama,College Stats,7.1,6-1,211.0,4.42,33.0,,120.0,6.71,3.98
2015,1,5,WAS,Brandon Scherff,T,23,2024.0,1,5,10,62.0,45.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Iowa,College Stats,6.8,6-5,319.0,5.05,,23.0,,,
2015,1,6,NYJ,Leonard Williams,DE,21,2024.0,0,2,9,66.0,28.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,2.0,54.5,USC,College Stats,7.4,6-5,302.0,4.97,29.5,,106.0,7.59,4.53
2015,1,7,CHI,Kevin White,WR,23,2022.0,0,0,0,3.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,28.0,397.0,0.0,2.0,,,West Virginia,College Stats,6.7,6-3,215.0,4.35,36.5,23.0,123.0,6.92,4.14
2015,1,7,CHI,Kevin White,WR,23,2022.0,0,0,0,3.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,28.0,397.0,0.0,2.0,,,West Virginia,College Stats,6.7,5-9,183.0,4.63,35.5,18.0,121.0,,
2015,1,8,ATL,Vic Beasley,OLB,23,2020.0,1,1,5,32.0,32.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1.0,37.5,Clemson,College Stats,6.7,6-3,246.0,4.53,41.0,35.0,130.0,6.91,4.15
2015,1,9,NYG,Ereck Flowers,T,21,2021.0,0,0,7,35.0,18.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-11.0,0.0,,,,Miami (FL),College Stats,6.4,6-6,329.0,5.31,,37.0,,,
2015,1,10,STL,Todd Gurley,RB,21,2020.0,2,3,6,54.0,50.0,88.0,0.0,0.0,0.0,0.0,0.0,1460.0,6082.0,67.0,243.0,2254.0,12.0,,,,Georgia,College Stats,6.8,6-1,222.0,4.52,,17.0,,,
2015,1,11,MIN,Trae Waynes,CB,23,2021.0,0,0,3,18.0,18.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,7.0,1.0,Michigan St.,College Stats,6.7,6-0,186.0,4.31,38.0,19.0,122.0,7.06,4.39
2015,1,12,CLE,Danny Shelton,NT,22,2022.0,0,0,5,33.0,15.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,,6.0,Washington,College Stats,6.8,6-2,339.0,5.64,30.5,34.0,95.0,7.99,4.65
2015,1,13,NOR,Andrus Peat,T,21,2024.0,0,3,7,53.0,52.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Stanford,College Stats,6.7,6-7,313.0,5.18,31.0,,105.0,8.01,4.62
2015,1,14,MIA,DeVante Parker,WR,22,2023.0,0,0,6,36.0,32.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,5660.0,27.0,3.0,,,Louisville,College Stats,6.7,6-3,209.0,4.45,36.5,17.0,125.0,,
2015,1,15,SDG,Melvin Gordon,RB,22,2023.0,0,2,7,51.0,38.0,112.0,0.0,0.0,0.0,0.0,0.0,1593.0,6543.0,56.0,312.0,2513.0,14.0,,,,Wisconsin,College Stats,6.8,6-1,215.0,4.52,35.0,19.0,126.0,7.04,4.07
2015,1,16,HOU,Kevin Johnson,CB,23,2020.0,0,0,0,11.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,1.0,1.5,Wake Forest,College Stats,6.3,6-0,188.0,4.52,41.5,,130.0,6.79,3.89
2015,1,17,SFO,Arik Armstead,DT,21,2024.0,0,0,6,41.0,41.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,,35.5,Oregon,College Stats,6.8,6-7,292.0,5.06,34.0,24.0,117.0,7.57,4.53
2015,1,18,KAN,Marcus Peters,CB,22,2023.0,2,3,7,63.0,32.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,33.0,2.0,Washington,College Stats,6.2,6-0,197.0,4.53,37.5,17.0,121.0,7.08,4.08
2015,1,19,CLE,Cameron Erving,C,23,2023.0,0,0,3,28.0,6.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Florida St.,College Stats,6.2,6-5,313.0,5.15,30.5,30.0,112.0,7.48,4.63
2015,1,20,PHI,Nelson Agholor,WR,22,2024.0,0,0,7,36.0,18.0,149.0,1.0,1.0,15.0,0.0,0.0,14.0,71.0,0.0,389.0,4858.0,37.0,1.0,,,USC,College Stats,6.1,6-0,198.0,4.42,,12.0,,,
2015,1,21,CIN,Cedric Ogbuehi,T,23,2022.0,0,0,2,17.0,11.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Texas A&M,College Stats,6.4,6-5,306.0,4.98,,23.0,,,
2015,1,23,DEN,Shane Ray,DE,22,2018.0,0,0,1,12.0,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,,14.0,Missouri,College Stats,7.0,6-3,245.0,4.68,,21.0,,,
2015,1,24,ARI,D.J. Humphries,T,21,2024.0,0,1,7,45.0,44.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Florida,College Stats,6.3,6-5,307.0,5.12,31.0,26.0,104.0,7.87,4.64
2015,1,25,CAR,Shaq Thompson,OLB,21,2024.0,0,0,8,41.0,41.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,3.0,12.0,Washington,College Stats,6.7,6-0,228.0,4.64,33.5,,117.0,6.99,4.08
2015,1,26,BAL,Breshad Perriman,WR,21,2022.0,0,0,1,15.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,145.0,2343.0,16.0,,,,Central Florida,College Stats,6.3,6-2,212.0,,,,,,
2015,1,27,DAL,Byron Jones,CB,22,2021.0,0,1,7,38.0,29.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,4.0,,Connecticut,College Stats,5.8,6-1,199.0,4.43,44.5,,147.0,6.78,3.94
2015,1,28,DET,Laken Tomlinson,G,23,2024.0,0,1,10,54.0,11.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Duke,College Stats,6.1,6-3,323.0,5.33,31.5,25.0,103.0,8.17,4.87
