Player,Pos,College Stats URL
Nick Bosa,DE,http://www.sports-reference.com/cfb/players/nick-bosa-1.html
Quinnen Williams,DT,http://www.sports-reference.com/cfb/players/quinnen-williams-1.html
Clelin Ferrell,DE,http://www.sports-reference.com/cfb/players/clelin-ferrell-1.html
Devin White,LB,http://www.sports-reference.com/cfb/players/devin-white-1.html
Josh Hines-Allen,LB,http://www.sports-reference.com/cfb/players/josh-allen-6.html
Ed Oliver,DT,http://www.sports-reference.com/cfb/players/ed-oliver-2.html
Devin Bush Jr.,LB,http://www.sports-reference.com/cfb/players/devin-bush-2.html
Jonah Williams,G,http://www.sports-reference.com/cfb/players/jonah-williams-1.html
Rashan Gary,LB,http://www.sports-reference.com/cfb/players/rashan-gary-1.html
Christian Wilkins,DT,http://www.sports-reference.com/cfb/players/christian-wilkins-1.html
Chris Lindstrom,G,http://www.sports-reference.com/cfb/players/chris-lindstrom-1.html
Brian Burns,DE,http://www.sports-reference.com/cfb/players/brian-burns-2.html
Dexter Lawrence,DT,http://www.sports-reference.com/cfb/players/dexter-lawrence-1.html
Garrett Bradbury,C,http://www.sports-reference.com/cfb/players/garrett-bradbury-1.html
Jeffery Simmons,DT,http://www.sports-reference.com/cfb/players/jeffery-simmons-1.html
Darnell Savage Jr.,S,http://www.sports-reference.com/cfb/players/darnell-savage-jr-1.html
Andre Dillard,T,http://www.sports-reference.com/cfb/players/andre-dillard-1.html
Montez Sweat,DE,http://www.sports-reference.com/cfb/players/montez-sweat-1.html
Johnathan Abram,S,http://www.sports-reference.com/cfb/players/johnathan-abram-1.html
Jerry Tillery,DT,http://www.sports-reference.com/cfb/players/jerry-tillery-2.html
L.J. Collier,DE,http://www.sports-reference.com/cfb/players/lj-collier-1.html
Deandre Baker,CB,http://www.sports-reference.com/cfb/players/deandre-baker-1.html
Kaleb McGary,T,http://www.sports-reference.com/cfb/players/kaleb-mcgary-1.html
Byron Murphy,CB,http://www.sports-reference.com/cfb/players/byron-murphy-1.html
Rock Ya-Sin,CB,http://www.sports-reference.com/cfb/players/rock-ya-sin-1.html
Jawaan Taylor,T,http://www.sports-reference.com/cfb/players/jawaan-taylor-1.html
Greg Little,T,http://www.sports-reference.com/cfb/players/greg-little-2.html
Cody Ford,T,http://www.sports-reference.com/cfb/players/cody-ford-1.html
Sean Murphy-Bunting,CB,http://www.sports-reference.com/cfb/players/sean-bunting-1.html
Trayvon Mullen,CB,http://www.sports-reference.com/cfb/players/trayvon-mullen-1.html
Dalton Risner,T,http://www.sports-reference.com/cfb/players/dalton-risner-1.html
Jahlani Tavai,LB,http://www.sports-reference.com/cfb/players/jahlani-tavai-1.html
Elgton Jenkins,C,http://www.sports-reference.com/cfb/players/elgton-jenkins-1.html
Joejuan Williams,CB,http://www.sports-reference.com/cfb/players/joejuan-williams-1.html
Greedy Williams,CB,http://www.sports-reference.com/cfb/players/greedy-williams-1.html
Marquise Blair,S,http://www.sports-reference.com/cfb/players/marquise-blair-1.html
Erik McCoy,C,http://www.sports-reference.com/cfb/players/erik-mccoy-1.html
Ben Banogu,LB,http://www.sports-reference.com/cfb/players/ben-banogu-1.html
Lonnie Johnson Jr.,CB,http://www.sports-reference.com/cfb/players/lonnie-johnson-4.html
Max Scharping,T,http://www.sports-reference.com/cfb/players/max-scharping-1.html
Trysten Hill,DT,http://www.sports-reference.com/cfb/players/trysten-hill-1.html
Taylor Rapp,S,http://www.sports-reference.com/cfb/players/tyler-rapp-2.html
Juan Thornhill,S,http://www.sports-reference.com/cfb/players/juan-thornhill-1.html
Chase Young,DE,http://www.sports-reference.com/cfb/players/chase-young-1.html
Jeff Okudah,CB,http://www.sports-reference.com/cfb/players/jeffrey-okudah-1.html
Andrew Thomas,T,http://www.sports-reference.com/cfb/players/andrew-thomas-2.html
Derrick Brown,DT,http://www.sports-reference.com/cfb/players/derrick-brown-6.html
Isaiah Simmons,LB,http://www.sports-reference.com/cfb/players/isaiah-simmons-1.html
C.J. Henderson,CB,http://www.sports-reference.com/cfb/players/cj-henderson-1.html
Jedrick Wills Jr.,T,http://www.sports-reference.com/cfb/players/jedrick-wills-jr-1.html
Mekhi Becton,T,http://www.sports-reference.com/cfb/players/mekhi-becton-1.html
Tristan Wirfs,T,http://www.sports-reference.com/cfb/players/tristan-wirfs-1.html
Javon Kinlaw,DT,http://www.sports-reference.com/cfb/players/javon-kinlaw-1.html
AJ Terrell,CB,http://www.sports-reference.com/cfb/players/aj-terrell-1.html
Austin Jackson,T,http://www.sports-reference.com/cfb/players/austin-jackson-2.html
Damon Arnette,CB,http://www.sports-reference.com/cfb/players/damon-arnette-1.html
K'Lavon Chaisson,DE,http://www.sports-reference.com/cfb/players/klavon-chaisson-1.html
Kenneth Murray,LB,http://www.sports-reference.com/cfb/players/kenneth-murray-1.html
Cesar Ruiz,C,http://www.sports-reference.com/cfb/players/cesar-ruiz-1.html
Jordyn Brooks,LB,http://www.sports-reference.com/cfb/players/jordyn-brooks-1.html
Patrick Queen,LB,http://www.sports-reference.com/cfb/players/patrick-queen-1.html
Isaiah Wilson,T,http://www.sports-reference.com/cfb/players/isaiah-wilson-1.html
Noah Igbinoghene,CB,http://www.sports-reference.com/cfb/players/noah-igbinoghene-1.html
Jeff Gladney,CB,http://www.sports-reference.com/cfb/players/jeff-gladney-1.html
Xavier McKinney,S,http://www.sports-reference.com/cfb/players/xavier-mckinney-1.html
Yetur Gross-Matos,DE,http://www.sports-reference.com/cfb/players/yetur-gross-matos-1.html
Robert Hunt,G,http://www.sports-reference.com/cfb/players/robert-hunt-1.html
Ross Blacklock,DT,http://www.sports-reference.com/cfb/players/ross-blacklock-1.html
Grant Delpit,S,http://www.sports-reference.com/cfb/players/grant-delpit-1.html
Antoine Winfield Jr.,S,http://www.sports-reference.com/cfb/players/antoine-winfield-jr-1.html
Marlon Davidson,DE,http://www.sports-reference.com/cfb/players/marlon-davidson-1.html
Darrell Taylor,DE,http://www.sports-reference.com/cfb/players/darrell-taylor-1.html
Jaylon Johnson,CB,http://www.sports-reference.com/cfb/players/jaylon-johnson-1.html
Trevon Diggs,CB,http://www.sports-reference.com/cfb/players/trevon-diggs-1.html
A.J. Epenesa,DE,http://www.sports-reference.com/cfb/players/aj-epenesa-1.html
Raekwon Davis,DT,http://www.sports-reference.com/cfb/players/raekwon-davis-1.html
Ezra Cleveland,T,http://www.sports-reference.com/cfb/players/ezra-cleveland-1.html
Josh Uche,LB,http://www.sports-reference.com/cfb/players/josh-uche-1.html
Kristian Fulton,CB,http://www.sports-reference.com/cfb/players/kristian-fulton-1.html
Willie Gay Jr.,LB,http://www.sports-reference.com/cfb/players/willie-gay-1.html
Penei Sewell,OL,http://www.sports-reference.com/cfb/players/penei-sewell-1.html
Jaycee Horn,DB,http://www.sports-reference.com/cfb/players/jaycee-horn-1.html
Patrick Surtain II,DB,http://www.sports-reference.com/cfb/players/patrick-surtain-ii-1.html
Micah Parsons,LB,http://www.sports-reference.com/cfb/players/micah-parsons-1.html
Rashawn Slater,OL,http://www.sports-reference.com/cfb/players/rashawn-slater-1.html
Alijah Vera-Tucker,OL,http://www.sports-reference.com/cfb/players/alijah-vera-tucker-1.html
Zaven Collins,LB,http://www.sports-reference.com/cfb/players/zaven-collins-1.html
Alex Leatherwood,OL,http://www.sports-reference.com/cfb/players/alex-leatherwood-1.html
Jaelan Phillips,DL,http://www.sports-reference.com/cfb/players/jaelan-phillips-1.html
Jamin Davis,LB,http://www.sports-reference.com/cfb/players/jamin-davis-1.html
Kwity Paye,DL,http://www.sports-reference.com/cfb/players/kwity-paye-1.html
Caleb Farley,DB,http://www.sports-reference.com/cfb/players/caleb-farley-1.html
Christian Darrisaw,OL,http://www.sports-reference.com/cfb/players/christian-darrisaw-1.html
Greg Newsome II,DB,http://www.sports-reference.com/cfb/players/greg-newsome-ii-1.html
Payton Turner,DE,http://www.sports-reference.com/cfb/players/payton-turner-1.html
Eric Stokes,DB,http://www.sports-reference.com/cfb/players/eric-stokes-2.html
Gregory Rousseau,DL,http://www.sports-reference.com/cfb/players/gregory-rousseau-1.html
Odafe Oweh,DE,http://www.sports-reference.com/cfb/players/jayson-oweh-1.html
Joe Tryon-Shoyinka,OLB,http://www.sports-reference.com/cfb/players/joe-tryon-1.html
Tyson Campbell,DB,http://www.sports-reference.com/cfb/players/tyson-campbell-1.html
Jevon Holland,S,http://www.sports-reference.com/cfb/players/jevon-holland-1.html
Landon Dickerson,OL,http://www.sports-reference.com/cfb/players/landon-dickerson-1.html
Christian Barmore,DL,http://www.sports-reference.com/cfb/players/christian-barmore-1.html
Teven Jenkins,OL,http://www.sports-reference.com/cfb/players/teven-jenkins-1.html
Richie Grant,DB,http://www.sports-reference.com/cfb/players/richie-grant-1.html
Levi Onwuzurike,DL,http://www.sports-reference.com/cfb/players/levi-onwuzurike-1.html
Liam Eichenberg,OL,http://www.sports-reference.com/cfb/players/liam-eichenberg-1.html
Tre'von Moehrig,S,http://www.sports-reference.com/cfb/players/trevon-moehrig-woodard-1.html
Kelvin Joseph,DB,http://www.sports-reference.com/cfb/players/kelvin-joseph-1.html
Walker Little,T,http://www.sports-reference.com/cfb/players/walker-little-1.html
Jackson Carman,T,http://www.sports-reference.com/cfb/players/jackson-carman-1.html
Asante Samuel Jr.,DB,http://www.sports-reference.com/cfb/players/asante-samuel-jr-1.html
Aaron Banks,OL,http://www.sports-reference.com/cfb/players/aaron-banks-4.html
Azeez Ojulari,OLB,http://www.sports-reference.com/cfb/players/azeez-ojulari-1.html
Samuel Cosmi,OL,http://www.sports-reference.com/cfb/players/samuel-cosmi-1.html
Jeremiah Owusu-Koramoah,LB,http://www.sports-reference.com/cfb/players/jeremiah-owusu-koramoah-1.html
Dayo Odeyingbo,DL,http://www.sports-reference.com/cfb/players/dayo-odeyingbo-1.html
