Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,College Stats URL,,
2015,2,39,CHI,Eddie Goldman,DT,21,2024,0,0,4,35,32,98,0,0,0,0,0,0,0,0,0,0,0,123,,14,Florida St.,College Stats,6.7,http://www.sports-reference.com/cfb/players/eddie-goldman-1.html,,
2015,2,40,TEN,Dorial Green-Beckham,WR,22,2016,0,0,0,7,4,31,0,0,0,0,0,0,0,0,68,941,6,,,,Oklahoma,College Stats,6.2,http://www.sports-reference.com/cfb/players/dorial-green-beckham-1.html,,
2015,2,41,CAR,Devin Funchess,TE,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,164,2265,21,,,,Michigan,College Stats,6.1,http://www.sports-reference.com/cfb/players/devin-funchess-1.html,,
2015,2,42,ATL,Jalen Collins,CB,22,2016,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,45,2,,LSU,College Stats,6.7,http://www.sports-reference.com/cfb/players/jalen-collins-1.html,,
2015,2,43,HOU,Benardrick McKinney,ILB,22,2021,0,1,5,44,42,91,0,0,0,0,0,0,0,0,0,0,0,331,1,11.5,Mississippi St.,College Stats,6.7,http://www.sports-reference.com/cfb/players/benardrick-mckinney-1.html,,
2015,2,44,NOR,Hau'oli Kikaha,OLB,23,2017,0,0,1,5,5,27,0,0,0,0,0,0,0,0,0,0,0,39,,8,Washington,College Stats,6.3,http://www.sports-reference.com/cfb/players/hauoli-kikaha-2.html,,
2015,2,45,MIN,Eric Kendricks,ILB,23,2024,1,1,10,64,55,147,0,0,0,0,0,0,0,0,0,0,0,729,11,21.5,UCLA,College Stats,6.2,http://www.sports-reference.com/cfb/players/eric-kendricks-1.html,,
2015,2,46,SFO,Jaquiski Tartt,S,23,2021,0,0,4,21,21,80,0,0,0,0,0,0,0,0,0,0,0,265,4,4,Samford,,6.1,,,
2015,2,47,PHI,Eric Rowe,CB,22,2023,0,0,2,21,2,103,0,0,0,0,0,0,0,0,0,0,0,294,6,2,Utah,College Stats,5.9,http://www.sports-reference.com/cfb/players/eric-rowe-1.html,,
2015,2,48,SDG,Denzel Perryman,ILB,22,2024,0,1,7,43,27,119,0,0,0,0,0,0,0,0,0,0,0,490,5,7.5,Miami (FL),College Stats,6.2,http://www.sports-reference.com/cfb/players/denzel-perryman-1.html,,
2015,2,49,KAN,Mitch Morse,G,23,2024,0,1,9,55,20,143,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats,5.6,http://www.sports-reference.com/cfb/players/mitch-morse-1.html,,
2015,2,50,BUF,Ronald Darby,CB,21,2024,0,0,8,34,9,118,0,0,0,0,0,0,0,0,0,0,0,381,8,,Florida St.,College Stats,6.2,http://www.sports-reference.com/cfb/players/ronald-darby-1.html,,
2015,2,51,CLE,Nate Orchard,DE,22,2021,0,0,1,8,7,48,0,0,0,0,0,0,0,0,0,0,0,51,1,6,Utah,College Stats,6.3,http://www.sports-reference.com/cfb/players/nate-orchard-1.html,,
2015,2,52,MIA,Jordan Phillips,NT,22,2024,0,0,5,31,9,129,0,0,0,0,0,0,0,0,0,0,0,124,2,24,Oklahoma,College Stats,6.7,http://www.sports-reference.com/cfb/players/jordan-phillips-1.html,,
2015,2,53,CIN,Jake Fisher,T,22,2018,0,0,0,9,9,48,0,0,0,0,0,0,0,0,2,43,0,,,,Oregon,College Stats,6.2,http://www.sports-reference.com/cfb/players/jake-fisher-1.html,,
